
Host: c2-18.compute.lan

Timers On : Mon Mar  8 17:44:45 2021
Timers Off: Mon Mar  8 17:47:24 2021

Wall Time:      158.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     22.933u      0.667s      1.914w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      1 calls
HF: Guess                           :      6.017u      0.333s      0.348w      1 calls
SAD Guess                           :      5.833u      0.317s      0.338w      1 calls
HF: Form G                          :     31.483u      1.867s      1.820w     14 calls
JK: D                               :      0.050u      0.000s      0.002w     14 calls
JK: USO2AO                          :      0.333u      0.000s      0.020w     14 calls
JK: JK                              :     30.517u      1.817s      1.764w     14 calls
PK computes JK                      :     30.517u      1.817s      1.764w     14 calls
JK: AO2USO                          :      0.533u      0.050s      0.031w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.017u      0.017s      0.002w     14 calls
HF: DIIS                            :      0.883u      0.067s      0.049w     13 calls
DIISManager::add_entry              :      0.117u      0.000s      0.007w     13 calls
DIISManager::extrapolate            :      0.250u      0.000s      0.015w     13 calls
bMatrix setup                       :      0.150u      0.000s      0.009w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.083u      0.000s      0.004w     13 calls
HF: Form C                          :      0.967u      0.067s      0.056w     13 calls
ccenergy                            :    785.417u     84.583s     52.591w      1 calls
F build                             :     31.900u      3.200s      3.073w     24 calls
Wmbej build                         :    109.433u     11.067s      6.680w     24 calls
C->Wmbej                            :      8.183u      0.983s      0.521w     24 calls
F->Wmbej                            :     58.083u      5.983s      3.548w     24 calls
E->Wmbej                            :      8.567u      1.133s      0.537w     24 calls
X->Wmbej                            :     30.467u      2.500s      1.825w     24 calls
Z                                   :     34.083u      3.033s      2.055w     24 calls
T2 Build                            :    489.650u     55.150s     33.072w     24 calls
BT2                                 :    338.017u     40.683s     23.769w     24 calls
FT2                                 :     52.600u      4.583s      3.150w     24 calls
WmbejT2                             :     41.800u      4.250s      2.709w     24 calls
CT2                                 :     29.533u      3.350s      1.791w     24 calls
cctriples                           :    378.117u     21.533s     20.171w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     22.933u      0.667s      1.914w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      1 calls
HF: Guess                           :      6.017u      0.333s      0.348w      1 calls
| SAD Guess                         :      5.833u      0.317s      0.338w      1 calls
HF: Form G                          :     31.483u      1.867s      1.820w     14 calls
| JK: D                             :      0.050u      0.000s      0.002w     14 calls
| JK: USO2AO                        :      0.333u      0.000s      0.020w     14 calls
| JK: JK                            :     30.517u      1.817s      1.764w     14 calls
| | PK computes JK                  :     30.517u      1.817s      1.764w     14 calls
| JK: AO2USO                        :      0.533u      0.050s      0.031w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.017u      0.017s      0.002w     14 calls
HF: DIIS                            :      0.883u      0.067s      0.049w     13 calls
| DIISManager::add_entry            :      0.117u      0.000s      0.007w     13 calls
| DIISManager::extrapolate          :      0.250u      0.000s      0.015w     13 calls
| | bMatrix setup                   :      0.150u      0.000s      0.009w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.083u      0.000s      0.004w     13 calls
HF: Form C                          :      0.967u      0.067s      0.056w     13 calls
ccenergy                            :    785.417u     84.583s     52.591w      1 calls
| F build                           :     31.900u      3.200s      3.073w     24 calls
| Wmbej build                       :    109.433u     11.067s      6.680w     24 calls
| | C->Wmbej                        :      8.183u      0.983s      0.521w     24 calls
| | F->Wmbej                        :     58.083u      5.983s      3.548w     24 calls
| | E->Wmbej                        :      8.567u      1.133s      0.537w     24 calls
| | X->Wmbej                        :     30.467u      2.500s      1.825w     24 calls
| Z                                 :     34.083u      3.033s      2.055w     24 calls
| T2 Build                          :    489.650u     55.150s     33.072w     24 calls
| | BT2                             :    338.017u     40.683s     23.769w     24 calls
| | FT2                             :     52.600u      4.583s      3.150w     24 calls
| | WmbejT2                         :     41.800u      4.250s      2.709w     24 calls
| | CT2                             :     29.533u      3.350s      1.791w     24 calls
cctriples                           :    378.117u     21.533s     20.171w      1 calls

**************************************************************************************
