
Host: d3-3.compute.lan

Timers On : Tue Mar  9 15:52:01 2021
Timers Off: Tue Mar  9 15:56:41 2021

Wall Time:      279.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     21.550u      0.517s      1.671w      1 calls
HF: Form core H                     :      0.083u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.005w      1 calls
HF: Guess                           :      5.567u      0.317s      0.335w      1 calls
SAD Guess                           :      5.417u      0.300s      0.326w      1 calls
HF: Form G                          :     47.033u      2.517s      2.705w     23 calls
JK: D                               :      0.050u      0.000s      0.003w     23 calls
JK: USO2AO                          :      0.467u      0.033s      0.029w     23 calls
JK: JK                              :     45.667u      2.433s      2.629w     23 calls
PK computes JK                      :     45.667u      2.433s      2.629w     23 calls
JK: AO2USO                          :      0.733u      0.050s      0.038w     23 calls
HF: Form F                          :      0.050u      0.000s      0.003w     23 calls
HF: Form D                          :      0.117u      0.050s      0.004w     23 calls
HF: DIIS                            :      1.583u      0.117s      0.094w     22 calls
DIISManager::add_entry              :      0.283u      0.017s      0.013w     22 calls
DIISManager::extrapolate            :      0.650u      0.050s      0.037w     22 calls
bMatrix setup                       :      0.383u      0.033s      0.023w     22 calls
bMatrix pseudoinverse               :      0.067u      0.017s      0.002w     22 calls
New vector                          :      0.200u      0.000s      0.011w     22 calls
HF: Form C                          :      2.583u      0.150s      0.148w     22 calls
ccenergy                            :   2059.317u    176.017s    114.215w      1 calls
F build                             :    162.483u     10.717s      8.688w     38 calls
Wmbej build                         :    342.433u     29.450s     18.603w     38 calls
C->Wmbej                            :     13.367u      1.617s      0.752w     38 calls
F->Wmbej                            :    200.250u     18.567s     10.944w     38 calls
E->Wmbej                            :     30.450u      3.133s      1.678w     38 calls
X->Wmbej                            :     85.250u      4.883s      4.515w     38 calls
Z                                   :     79.417u      6.033s      4.269w     38 calls
T2 Build                            :   1148.833u    101.617s     64.165w     38 calls
BT2                                 :    718.033u     66.050s     40.842w     38 calls
FT2                                 :    143.800u     11.667s      7.777w     38 calls
WmbejT2                             :    120.150u      9.083s      6.463w     38 calls
CT2                                 :     88.883u      9.267s      4.906w     38 calls
cctriples                           :    848.233u     40.050s     96.338w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     21.550u      0.517s      1.671w      1 calls
HF: Form core H                     :      0.083u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.005w      1 calls
HF: Guess                           :      5.567u      0.317s      0.335w      1 calls
| SAD Guess                         :      5.417u      0.300s      0.326w      1 calls
HF: Form G                          :     47.033u      2.517s      2.705w     23 calls
| JK: D                             :      0.050u      0.000s      0.003w     23 calls
| JK: USO2AO                        :      0.467u      0.033s      0.029w     23 calls
| JK: JK                            :     45.667u      2.433s      2.629w     23 calls
| | PK computes JK                  :     45.667u      2.433s      2.629w     23 calls
| JK: AO2USO                        :      0.733u      0.050s      0.038w     23 calls
HF: Form F                          :      0.050u      0.000s      0.003w     23 calls
HF: Form D                          :      0.117u      0.050s      0.004w     23 calls
HF: DIIS                            :      1.583u      0.117s      0.094w     22 calls
| DIISManager::add_entry            :      0.283u      0.017s      0.013w     22 calls
| DIISManager::extrapolate          :      0.650u      0.050s      0.037w     22 calls
| | bMatrix setup                   :      0.383u      0.033s      0.023w     22 calls
| | bMatrix pseudoinverse           :      0.067u      0.017s      0.002w     22 calls
| | New vector                      :      0.200u      0.000s      0.011w     22 calls
HF: Form C                          :      2.583u      0.150s      0.148w     22 calls
ccenergy                            :   2059.317u    176.017s    114.215w      1 calls
| F build                           :    162.483u     10.717s      8.688w     38 calls
| Wmbej build                       :    342.433u     29.450s     18.603w     38 calls
| | C->Wmbej                        :     13.367u      1.617s      0.752w     38 calls
| | F->Wmbej                        :    200.250u     18.567s     10.944w     38 calls
| | E->Wmbej                        :     30.450u      3.133s      1.678w     38 calls
| | X->Wmbej                        :     85.250u      4.883s      4.515w     38 calls
| Z                                 :     79.417u      6.033s      4.269w     38 calls
| T2 Build                          :   1148.833u    101.617s     64.165w     38 calls
| | BT2                             :    718.033u     66.050s     40.842w     38 calls
| | FT2                             :    143.800u     11.667s      7.777w     38 calls
| | WmbejT2                         :    120.150u      9.083s      6.463w     38 calls
| | CT2                             :     88.883u      9.267s      4.906w     38 calls
cctriples                           :    848.233u     40.050s     96.338w      1 calls

**************************************************************************************
