
Host: c5-3.compute.lan

Timers On : Wed Mar 10 09:44:23 2021
Timers Off: Wed Mar 10 09:46:09 2021

Wall Time:      105.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     22.150u      0.617s      1.582w      1 calls
HF: Form core H                     :      0.083u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      1 calls
HF: Guess                           :      7.267u      0.100s      0.371w      1 calls
SAD Guess                           :      6.983u      0.100s      0.356w      1 calls
HF: Form G                          :     46.300u      1.100s      2.660w     14 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.283u      0.017s      0.018w     14 calls
JK: JK                              :     45.483u      1.067s      2.615w     14 calls
PK computes JK                      :     45.483u      1.067s      2.615w     14 calls
JK: AO2USO                          :      0.400u      0.017s      0.022w     14 calls
HF: Form F                          :      0.017u      0.000s      0.002w     14 calls
HF: Form D                          :      0.033u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.800u      0.000s      0.042w     13 calls
DIISManager::add_entry              :      0.167u      0.000s      0.007w     13 calls
DIISManager::extrapolate            :      0.200u      0.000s      0.009w     13 calls
bMatrix setup                       :      0.100u      0.000s      0.004w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.083u      0.000s      0.003w     13 calls
HF: Form C                          :      0.950u      0.000s      0.052w     13 calls
ccenergy                            :    962.233u     60.783s     55.254w      1 calls
F build                             :     46.017u      2.233s      3.126w     24 calls
Wmbej build                         :    129.350u      6.917s      6.879w     24 calls
C->Wmbej                            :      7.017u      0.617s      0.384w     24 calls
F->Wmbej                            :     86.133u      3.817s      4.541w     24 calls
E->Wmbej                            :     11.233u      0.750s      0.604w     24 calls
X->Wmbej                            :     20.717u      1.467s      1.122w     24 calls
Z                                   :     32.967u      1.867s      1.763w     24 calls
T2 Build                            :    604.983u     42.767s     35.057w     24 calls
BT2                                 :    433.933u     33.600s     25.970w     24 calls
FT2                                 :     66.233u      2.500s      3.466w     24 calls
WmbejT2                             :     35.733u      2.683s      1.940w     24 calls
CT2                                 :     37.083u      2.650s      1.998w     24 calls
cctriples                           :    354.983u      9.217s     18.266w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     22.150u      0.617s      1.582w      1 calls
HF: Form core H                     :      0.083u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      1 calls
HF: Guess                           :      7.267u      0.100s      0.371w      1 calls
| SAD Guess                         :      6.983u      0.100s      0.356w      1 calls
HF: Form G                          :     46.300u      1.100s      2.660w     14 calls
| JK: D                             :      0.000u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.283u      0.017s      0.018w     14 calls
| JK: JK                            :     45.483u      1.067s      2.615w     14 calls
| | PK computes JK                  :     45.483u      1.067s      2.615w     14 calls
| JK: AO2USO                        :      0.400u      0.017s      0.022w     14 calls
HF: Form F                          :      0.017u      0.000s      0.002w     14 calls
HF: Form D                          :      0.033u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.800u      0.000s      0.042w     13 calls
| DIISManager::add_entry            :      0.167u      0.000s      0.007w     13 calls
| DIISManager::extrapolate          :      0.200u      0.000s      0.009w     13 calls
| | bMatrix setup                   :      0.100u      0.000s      0.004w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.083u      0.000s      0.003w     13 calls
HF: Form C                          :      0.950u      0.000s      0.052w     13 calls
ccenergy                            :    962.233u     60.783s     55.254w      1 calls
| F build                           :     46.017u      2.233s      3.126w     24 calls
| Wmbej build                       :    129.350u      6.917s      6.879w     24 calls
| | C->Wmbej                        :      7.017u      0.617s      0.384w     24 calls
| | F->Wmbej                        :     86.133u      3.817s      4.541w     24 calls
| | E->Wmbej                        :     11.233u      0.750s      0.604w     24 calls
| | X->Wmbej                        :     20.717u      1.467s      1.122w     24 calls
| Z                                 :     32.967u      1.867s      1.763w     24 calls
| T2 Build                          :    604.983u     42.767s     35.057w     24 calls
| | BT2                             :    433.933u     33.600s     25.970w     24 calls
| | FT2                             :     66.233u      2.500s      3.466w     24 calls
| | WmbejT2                         :     35.733u      2.683s      1.940w     24 calls
| | CT2                             :     37.083u      2.650s      1.998w     24 calls
cctriples                           :    354.983u      9.217s     18.266w      1 calls

**************************************************************************************
