
Host: c1-11.compute.lan

Timers On : Tue Mar  9 15:35:30 2021
Timers Off: Tue Mar  9 15:39:34 2021

Wall Time:      243.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     20.300u      0.900s      1.554w      1 calls
HF: Form core H                     :      0.100u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.002w      1 calls
HF: Guess                           :      6.483u      0.300s      0.341w      1 calls
SAD Guess                           :      6.250u      0.300s      0.328w      1 calls
HF: Form G                          :     73.200u      3.650s      3.931w     23 calls
JK: D                               :      0.033u      0.000s      0.001w     23 calls
JK: USO2AO                          :      0.033u      0.017s      0.006w     23 calls
JK: JK                              :     72.867u      3.617s      3.912w     23 calls
PK computes JK                      :     72.850u      3.617s      3.911w     23 calls
JK: AO2USO                          :      0.167u      0.000s      0.006w     23 calls
HF: Form F                          :      0.083u      0.000s      0.004w     23 calls
HF: Form D                          :      0.017u      0.000s      0.002w     23 calls
HF: DIIS                            :      1.067u      0.033s      0.056w     22 calls
DIISManager::add_entry              :      0.250u      0.033s      0.013w     22 calls
DIISManager::extrapolate            :      0.450u      0.000s      0.025w     22 calls
bMatrix setup                       :      0.167u      0.000s      0.012w     22 calls
bMatrix pseudoinverse               :      0.083u      0.000s      0.002w     22 calls
New vector                          :      0.183u      0.000s      0.011w     22 calls
HF: Form C                          :      1.133u      0.083s      0.058w     22 calls
ccenergy                            :   2283.967u    256.483s    156.763w      1 calls
F build                             :     87.683u      9.500s     12.101w     38 calls
Wmbej build                         :    446.367u     43.633s     24.501w     38 calls
C->Wmbej                            :     13.483u      1.483s      0.748w     38 calls
F->Wmbej                            :    351.133u     35.067s     19.313w     38 calls
E->Wmbej                            :     29.283u      2.667s      1.598w     38 calls
X->Wmbej                            :     42.267u      3.467s      2.284w     38 calls
Z                                   :     87.717u      8.700s      4.823w     38 calls
T2 Build                            :   1299.400u    163.367s     95.272w     38 calls
BT2                                 :    864.750u    123.633s     71.544w     38 calls
FT2                                 :    225.250u     20.883s     12.312w     38 calls
WmbejT2                             :     71.283u      7.017s      3.912w     38 calls
CT2                                 :     74.200u      7.483s      4.088w     38 calls
cctriples                           :    669.200u     32.183s     35.136w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     20.300u      0.900s      1.554w      1 calls
HF: Form core H                     :      0.100u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.002w      1 calls
HF: Guess                           :      6.483u      0.300s      0.341w      1 calls
| SAD Guess                         :      6.250u      0.300s      0.328w      1 calls
HF: Form G                          :     73.200u      3.650s      3.931w     23 calls
| JK: D                             :      0.033u      0.000s      0.001w     23 calls
| JK: USO2AO                        :      0.033u      0.017s      0.006w     23 calls
| JK: JK                            :     72.867u      3.617s      3.912w     23 calls
| | PK computes JK                  :     72.850u      3.617s      3.911w     23 calls
| JK: AO2USO                        :      0.167u      0.000s      0.006w     23 calls
HF: Form F                          :      0.083u      0.000s      0.004w     23 calls
HF: Form D                          :      0.017u      0.000s      0.002w     23 calls
HF: DIIS                            :      1.067u      0.033s      0.056w     22 calls
| DIISManager::add_entry            :      0.250u      0.033s      0.013w     22 calls
| DIISManager::extrapolate          :      0.450u      0.000s      0.025w     22 calls
| | bMatrix setup                   :      0.167u      0.000s      0.012w     22 calls
| | bMatrix pseudoinverse           :      0.083u      0.000s      0.002w     22 calls
| | New vector                      :      0.183u      0.000s      0.011w     22 calls
HF: Form C                          :      1.133u      0.083s      0.058w     22 calls
ccenergy                            :   2283.967u    256.483s    156.763w      1 calls
| F build                           :     87.683u      9.500s     12.101w     38 calls
| Wmbej build                       :    446.367u     43.633s     24.501w     38 calls
| | C->Wmbej                        :     13.483u      1.483s      0.748w     38 calls
| | F->Wmbej                        :    351.133u     35.067s     19.313w     38 calls
| | E->Wmbej                        :     29.283u      2.667s      1.598w     38 calls
| | X->Wmbej                        :     42.267u      3.467s      2.284w     38 calls
| Z                                 :     87.717u      8.700s      4.823w     38 calls
| T2 Build                          :   1299.400u    163.367s     95.272w     38 calls
| | BT2                             :    864.750u    123.633s     71.544w     38 calls
| | FT2                             :    225.250u     20.883s     12.312w     38 calls
| | WmbejT2                         :     71.283u      7.017s      3.912w     38 calls
| | CT2                             :     74.200u      7.483s      4.088w     38 calls
cctriples                           :    669.200u     32.183s     35.136w      1 calls

**************************************************************************************
