
Host: c1-9.compute.lan

Timers On : Wed Mar 10 09:54:29 2021
Timers Off: Wed Mar 10 09:56:34 2021

Wall Time:      125.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     21.417u      1.083s      1.912w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      1 calls
HF: Guess                           :      8.117u      0.433s      0.458w      1 calls
SAD Guess                           :      7.817u      0.417s      0.441w      1 calls
HF: Form G                          :     52.000u      3.867s      3.995w     14 calls
JK: D                               :      0.033u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.233u      0.017s      0.012w     14 calls
JK: JK                              :     51.467u      3.800s      3.960w     14 calls
PK computes JK                      :     51.467u      3.800s      3.960w     14 calls
JK: AO2USO                          :      0.217u      0.017s      0.016w     14 calls
HF: Form F                          :      0.017u      0.017s      0.001w     14 calls
HF: Form D                          :      0.083u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.617u      0.050s      0.036w     13 calls
DIISManager::add_entry              :      0.083u      0.017s      0.008w     13 calls
DIISManager::extrapolate            :      0.200u      0.033s      0.011w     13 calls
bMatrix setup                       :      0.117u      0.000s      0.005w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     13 calls
New vector                          :      0.067u      0.033s      0.003w     13 calls
HF: Form C                          :      0.567u      0.033s      0.031w     13 calls
ccenergy                            :   1012.517u    102.900s     61.350w      1 calls
F build                             :     42.650u      3.767s      3.612w     24 calls
Wmbej build                         :    131.483u     11.700s      7.394w     24 calls
C->Wmbej                            :     10.517u      1.117s      0.626w     24 calls
F->Wmbej                            :     84.500u      7.133s      4.707w     24 calls
E->Wmbej                            :     10.483u      1.000s      0.591w     24 calls
X->Wmbej                            :     21.183u      2.000s      1.197w     24 calls
Z                                   :     35.900u      3.450s      2.028w     24 calls
T2 Build                            :    637.383u     70.283s     38.578w     24 calls
BT2                                 :    474.500u     55.383s     29.584w     24 calls
FT2                                 :     68.433u      5.183s      3.719w     24 calls
WmbejT2                             :     31.950u      4.033s      1.817w     24 calls
CT2                                 :     32.700u      3.500s      1.820w     24 calls
cctriples                           :    392.117u     22.500s     20.755w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     21.417u      1.083s      1.912w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      1 calls
HF: Guess                           :      8.117u      0.433s      0.458w      1 calls
| SAD Guess                         :      7.817u      0.417s      0.441w      1 calls
HF: Form G                          :     52.000u      3.867s      3.995w     14 calls
| JK: D                             :      0.033u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.233u      0.017s      0.012w     14 calls
| JK: JK                            :     51.467u      3.800s      3.960w     14 calls
| | PK computes JK                  :     51.467u      3.800s      3.960w     14 calls
| JK: AO2USO                        :      0.217u      0.017s      0.016w     14 calls
HF: Form F                          :      0.017u      0.017s      0.001w     14 calls
HF: Form D                          :      0.083u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.617u      0.050s      0.036w     13 calls
| DIISManager::add_entry            :      0.083u      0.017s      0.008w     13 calls
| DIISManager::extrapolate          :      0.200u      0.033s      0.011w     13 calls
| | bMatrix setup                   :      0.117u      0.000s      0.005w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     13 calls
| | New vector                      :      0.067u      0.033s      0.003w     13 calls
HF: Form C                          :      0.567u      0.033s      0.031w     13 calls
ccenergy                            :   1012.517u    102.900s     61.350w      1 calls
| F build                           :     42.650u      3.767s      3.612w     24 calls
| Wmbej build                       :    131.483u     11.700s      7.394w     24 calls
| | C->Wmbej                        :     10.517u      1.117s      0.626w     24 calls
| | F->Wmbej                        :     84.500u      7.133s      4.707w     24 calls
| | E->Wmbej                        :     10.483u      1.000s      0.591w     24 calls
| | X->Wmbej                        :     21.183u      2.000s      1.197w     24 calls
| Z                                 :     35.900u      3.450s      2.028w     24 calls
| T2 Build                          :    637.383u     70.283s     38.578w     24 calls
| | BT2                             :    474.500u     55.383s     29.584w     24 calls
| | FT2                             :     68.433u      5.183s      3.719w     24 calls
| | WmbejT2                         :     31.950u      4.033s      1.817w     24 calls
| | CT2                             :     32.700u      3.500s      1.820w     24 calls
cctriples                           :    392.117u     22.500s     20.755w      1 calls

**************************************************************************************
